Cluster,avg_equity2P,avg_equity3P
397,0.904948,0.784056
398,0.527718,0.312415
399,0.24217,0.170435
400,0.278989,0.101808
401,0.521758,0.292509
402,0.370663,0.184049
403,0.716391,0.466471
404,0.344598,0.18092
405,0.595287,0.473344
406,0.527881,0.388433
407,0.385953,0.166588
408,0.858694,0.734436
409,0.765763,0.721127
410,0.815018,0.687716
411,0.711369,0.652339
412,0.183213,0.0837802
413,0.544586,0.363598
414,0.725244,0.55718
415,0.688627,0.596783
416,0.520427,0.43144
417,0.0623713,0.0179499
418,0.187244,0.0352649
419,0.899615,0.875665
420,0.454718,0.294767
421,0.302469,0.105977
422,0.711135,0.61462
423,0.908344,0.868732
424,0.392978,0.156186
425,0.833488,0.618762
426,0.825425,0.75698
427,0.500083,0.289336
428,0.795455,0.604037
429,0.590609,0.443977
430,0.573262,0.4153
431,0.169227,0.0551853
432,0.799155,0.704923
433,0.667741,0.39472
434,0.758798,0.604176
435,0.869578,0.854483
436,0.639265,0.447469
437,0.698303,0.463529
438,0.723798,0.728145
439,0.797602,0.663072
440,0.108089,0.0182309
441,0.838671,0.701291
442,0.817842,0.712076
443,0.858593,0.672487
444,0.688674,0.501946
445,0.739556,0.521236
446,0.564199,0.362827
447,0.842987,0.777034
448,0.77936,0.709497
449,0.483507,0.28046
450,0.394076,0.23473
451,0.297294,0.0809024
452,0.393019,0.315195
453,0.677567,0.374058
454,0.86118,0.813892
455,0.44107,0.328613
456,0.870996,0.741506
457,0.391754,0.178362
458,0.971599,0.975461
459,0.616478,0.364596
460,0.792205,0.651962
461,0.773703,0.739397
462,0.836082,0.741138
463,0.298287,0.223216
464,0.1712,0.082283
465,0.85011,0.809825
466,0.6323,0.333169
467,0.330796,0.148474
468,0.725082,0.546819
469,0.78584,0.671297
470,0.252401,0.0880934
471,0.579994,0.329095
472,0.723358,0.704539
473,0.744385,0.534788
474,0.615662,0.438773
475,0.62491,0.406975
476,0.635788,0.383886
477,0.672612,0.411459
478,0.383575,0.19787
479,0.37523,0.210529
480,0.662657,0.448367
481,0.0719489,0.0190311
482,0.0838809,0.0325513
483,0.305834,0.160056
484,0.648066,0.41849
485,0.36334,0.208047
486,0.876525,0.75279
487,0.361981,0.251288
488,0.708308,0.535926
489,0.317674,0.220733
490,0.556837,0.292279
491,0.483937,0.311457
492,0.468042,0.310251
493,0.348952,0.138511
494,0.613414,0.416227
495,0.26473,0.113573
496,0.13408,0.0229463
497,0.810724,0.572748
498,0.755457,0.487587
499,0.219442,0.121936
500,0.569063,0.404508
501,0.675498,0.630022
502,0.343095,0.248012
503,0.93485,0.899274
504,0.271961,0.0945193
505,0.765232,0.570484
506,0.117035,0.0613443
507,0.137472,0.0416654
508,0.453621,0.186798
509,0.497104,0.394829
510,0.251786,0.0514617
511,0.866124,0.789717
512,0.269005,0.104069
513,0.44568,0.373583
514,0.532704,0.230845
515,0.859108,0.713194
516,0.340818,0.215173
517,0.739949,0.573525
518,0.739446,0.585026
519,0.375155,0.228701
520,0.0394889,0.0101975
521,0.411561,0.235798
522,0.91433,0.860397
523,0.432902,0.273569
524,0.677673,0.516053
525,0.717476,0.528037
526,0.538948,0.307618
527,0.589256,0.357057
528,0.552033,0.307853
529,0.312613,0.112566
530,0.802836,0.727508
531,0.517059,0.382579
532,0.249674,0.12532
533,0.235288,0.0993372
534,0.55762,0.405564
535,0.305914,0.0689978
536,0.692643,0.573126
537,0.84488,0.712993
538,0.51447,0.313582
539,0.425318,0.261826
540,0.506542,0.278399
541,0.780417,0.527262
542,0.501319,0.326654
543,0.165646,0.0708996
544,0.815564,0.785727
545,0.326025,0.157414
546,0.0930547,0.0174573
547,0.486566,0.379336
548,0.759244,0.635833
549,0.482574,0.321408
550,0.438921,0.168629
551,0.712327,0.505868
552,0.278794,0.129771
553,0.157757,0.0411598
554,0.152194,0.0554459
555,0.750379,0.590618
556,0.726762,0.510987
557,0.813675,0.736708
558,0.801508,0.684687
559,0.650888,0.474677
560,0.843431,0.685753
561,0.0944991,0.0383294
562,0.736554,0.457829
563,0.710069,0.63266
564,0.824411,0.744427
565,0.570268,0.459364
566,0.757089,0.695554
567,0.204556,0.0563348
568,0.634849,0.528044
569,0.44269,0.209752
570,0.458381,0.239471
571,0.59946,0.432842
572,0.0319977,0.010439
573,0.211989,0.108784
574,0.402944,0.251454
575,0.939148,0.861394
576,0.478193,0.193735
577,0.402664,0.285929
578,0.71752,0.576793
579,0.560237,0.353462
580,0.693105,0.547865
581,0.683587,0.492114
582,0.836517,0.752884
583,0.580327,0.377235
584,0.59413,0.402057
585,0.809643,0.808838
586,0.36465,0.297816
587,0.751527,0.737566
588,0.703616,0.555616
589,0.585562,0.396711
590,0.478986,0.228137
591,0.462716,0.291493
592,0.349631,0.121897
593,0.543282,0.372968
594,0.316438,0.178491
595,0.49347,0.237525
596,0.505261,0.343667
597,0.274449,0.155429
598,0.694569,0.665307
599,0.789868,0.784433
600,0.774584,0.692965
601,0.657093,0.611977
602,0.429196,0.231924
603,0.384678,0.266847
604,0.87093,0.81851
605,0.554256,0.472308
606,0.0993973,0.0315487
607,0.35393,0.23735
608,0.329363,0.213929
609,0.531591,0.324933
610,0.57472,0.368957
611,0.421963,0.244268
612,0.890362,0.740824
613,0.479447,0.29105
614,0.882133,0.7665
615,0.231881,0.135401
616,0.837284,0.725049
617,0.259702,0.162716
618,0.616793,0.505273
619,0.583599,0.386523
620,0.508997,0.297736
621,0.92573,0.853461
622,0.148586,0.0259645
623,0.437996,0.303011
624,0.498195,0.367192
625,0.679538,0.569053
626,0.202937,0.0760607
627,0.681211,0.547132
628,0.626309,0.454848
629,0.581182,0.311855
630,0.522777,0.349612
631,0.621874,0.378382
632,0.881661,0.818044
633,0.770504,0.641924
634,0.525337,0.372594
635,0.85679,0.74465
636,0.89399,0.850932
637,0.706591,0.449977
638,0.262776,0.09548
639,0.603947,0.396514
640,0.279269,0.206147
641,0.871753,0.771001
642,0.836488,0.67133
643,0.258862,0.186656
644,0.131092,0.0575011
645,0.134758,0.0492355
646,0.625911,0.431496
647,0.572997,0.294424
648,0.231863,0.0458228
649,0.896121,0.832467
650,0.541778,0.353142
651,0.628526,0.4819
652,0.508803,0.205432
653,0.694724,0.433091
654,0.174089,0.0473473
655,0.224302,0.0961672
656,0.471633,0.213178
657,0.284068,0.13829
658,0.704717,0.57374
659,0.462814,0.302042
660,0.53714,0.449338
661,0.627824,0.443206
662,0.736819,0.646446
663,0.409362,0.274541
664,0.336191,0.17773
665,0.503415,0.316087
666,0.414966,0.254377
667,0.419801,0.170673
668,0.35598,0.160354
669,0.523797,0.412326
670,0.451666,0.250143
671,0.759687,0.625438
672,0.200942,0.0363837
673,0.895723,0.822424
674,0.704849,0.478464
675,0.488757,0.25235
676,0.719331,0.600256
677,0.260757,0.125316
678,0.184547,0.047145
679,0.653103,0.406956
680,0.471595,0.399497
681,0.638316,0.490664
682,0.597546,0.346399
683,0.654985,0.506429
684,0.752665,0.57081
685,0.413941,0.225145
686,0.367655,0.238537
687,0.210286,0.0695427
688,0.453373,0.28375
689,0.649252,0.454763
690,0.430127,0.212841
691,0.358698,0.218046
692,0.330371,0.139155
693,0.392804,0.191085
694,0.697964,0.608398
695,0.310504,0.0871366
696,0.461696,0.353491
697,0.386276,0.225625
698,0.673156,0.494143
699,0.774049,0.579697
700,0.174115,0.0634452
701,0.330239,0.265905
702,0.106681,0.0277247
703,0.296733,0.145513
704,0.603498,0.409169
705,0.690581,0.513181
706,0.456009,0.271396
707,0.845661,0.736387
708,0.490518,0.21682
709,0.540758,0.389621
710,0.850565,0.758278
711,0.791795,0.551441
712,0.730834,0.533588
713,0.673297,0.47139
714,0.24536,0.135592
715,0.746048,0.655536
716,0.657401,0.545743
717,0.925705,0.81138
718,0.282858,0.0798404
719,0.73348,0.482186
720,0.272932,0.169419
721,0.908596,0.798766
722,0.572888,0.340161
723,0.549626,0.430866
724,0.526465,0.338382
725,0.898929,0.805181
726,0.80555,0.766983
727,0.787505,0.685527
728,0.139095,0.0300499
729,0.911063,0.885994
730,0.47,0.339877
731,0.846588,0.798801
732,0.909287,0.821092
733,0.333101,0.166484
734,0.41548,0.196622
735,0.402917,0.181456
736,0.69656,0.535364
737,0.800899,0.69434
738,0.918784,0.826967
739,0.748103,0.626097
740,0.763314,0.683287
741,0.293188,0.110809
742,0.303975,0.184414
743,0.304278,0.15006
744,0.869953,0.761587
745,0.782906,0.724388
746,0.56929,0.321221
747,0.424217,0.224318
748,0.260896,0.0860704
749,0.506803,0.3596
750,0.246892,0.104381
751,0.380391,0.177523
752,0.193712,0.0873777
753,0.694934,0.488739
754,0.408076,0.135428
755,0.272969,0.0714704
756,0.42598,0.189913
757,0.541114,0.31774
