Cluster,avg_equity2P,avg_equity3P
393,0.781337,0.699462
394,0.188192,0.0359582
395,0.299413,0.103648
396,0.61335,0.420881
397,0.911853,0.839829
398,0.571172,0.344776
399,0.535365,0.372131
400,0.755188,0.675471
401,0.419197,0.220202
402,0.837992,0.761959
403,0.588608,0.3387
404,0.603798,0.422181
405,0.393498,0.137191
406,0.684248,0.409137
407,0.7843,0.586091
408,0.190752,0.1087
409,0.647758,0.394964
410,0.463873,0.299525
411,0.63707,0.545635
412,0.310735,0.159175
413,0.364899,0.164607
414,0.433519,0.274813
415,0.671141,0.503437
416,0.567195,0.395105
417,0.384315,0.159754
418,0.868052,0.818647
419,0.229651,0.0712304
420,0.447667,0.229427
421,0.201353,0.0750072
422,0.950673,0.927684
423,0.838635,0.663146
424,0.00503349,0.00591632
425,0.299789,0.115341
426,0.564195,0.330736
427,0.896296,0.870415
428,0.644792,0.492077
429,0.0609708,0.0139467
430,0.359941,0.203902
431,0.168104,0.0409217
432,0.506341,0.252854
433,0.270024,0.100313
434,0.224751,0.0988914
435,0.77648,0.621052
436,0.612308,0.466954
437,0.623889,0.416079
438,0.429623,0.271121
439,0.858248,0.692162
440,0.538775,0.248031
441,0.534815,0.39498
442,0.372934,0.174851
443,0.684376,0.646025
444,0.76324,0.616212
445,0.588885,0.400619
446,0.324124,0.148969
447,0.808084,0.592248
448,0.202805,0.104877
449,0.695715,0.522508
450,0.406126,0.175652
451,0.401748,0.240332
452,0.697793,0.60387
453,0.47923,0.262209
454,0.103197,0.0362877
455,0.544271,0.355874
456,0.518202,0.416578
457,0.776525,0.557202
458,0.575398,0.383145
459,0.243585,0.0702649
460,0.437609,0.29779
461,0.229916,0.105803
462,0.87504,0.73956
463,0.473149,0.332346
464,0.422207,0.228441
465,0.422062,0.252798
466,0.535818,0.407354
467,0.430171,0.238464
468,0.709771,0.57268
469,0.457909,0.372508
470,0.730377,0.66969
471,0.347171,0.100082
472,0.682326,0.46551
473,0.273408,0.148316
474,0.753617,0.623545
475,0.305178,0.188295
476,0.773037,0.696715
477,0.582527,0.454348
478,0.69779,0.490006
479,0.911133,0.813263
480,0.48277,0.31714
481,0.160403,0.0532479
482,0.747534,0.587188
483,0.258776,0.0792558
484,0.24793,0.0746633
485,0.916762,0.826024
486,0.19527,0.0634393
487,0.066926,0.0161731
488,0.811967,0.703665
489,0.737533,0.579599
490,0.529604,0.389033
491,0.341372,0.145114
492,0.644693,0.469012
493,0.720027,0.581597
494,0.883649,0.761743
495,0.437374,0.336994
496,0.58634,0.372548
497,0.425391,0.257812
498,0.673384,0.598798
499,0.822579,0.684974
500,0.0710124,0.0291304
501,0.383327,0.214215
502,0.296246,0.138963
503,0.661133,0.555884
504,0.693771,0.473401
505,0.591151,0.411784
506,0.111422,0.0480971
507,0.509728,0.362519
508,0.0398111,0.0133381
509,0.762485,0.55897
510,0.785727,0.723464
511,0.367692,0.202717
512,0.129767,0.0531408
513,0.715459,0.634803
514,0.501131,0.301938
515,0.462569,0.256842
516,0.434924,0.25181
517,0.0485073,0.022274
518,0.691567,0.426874
519,0.718514,0.521923
520,0.581842,0.415478
521,0.623451,0.459295
522,0.631163,0.513606
523,0.153578,0.0510833
524,0.688217,0.576023
525,0.631096,0.532535
526,0.642643,0.509108
527,0.372288,0.272452
528,0.856022,0.730069
529,0.788747,0.599625
530,0.622339,0.447928
531,0.751249,0.734718
532,0.19122,0.0571913
533,0.28422,0.144388
534,0.318186,0.198985
535,0.570493,0.365211
536,0.891646,0.816016
537,0.906723,0.90481
538,0.700744,0.640118
539,0.16787,0.0665284
540,0.528372,0.30787
541,0.607388,0.366064
542,0.832903,0.684223
543,0.124794,0.0252511
544,0.0171086,0.00888555
545,0.86395,0.760518
546,0.697677,0.45629
547,0.424397,0.164233
548,0.105241,0.0246648
549,0.882338,0.819775
550,0.700022,0.560231
551,0.543289,0.305305
552,0.713276,0.660904
553,0.361477,0.178264
554,0.0954563,0.0326713
555,0.637427,0.352565
556,0.834393,0.779431
557,0.319599,0.176299
558,0.35335,0.158798
559,0.348768,0.189336
560,0.305979,0.1526
561,0.395155,0.224799
562,0.33258,0.23936
563,0.454775,0.251362
564,0.0916909,0.0196924
565,0.449296,0.238483
566,0.614022,0.378597
567,0.533116,0.269407
568,0.686755,0.524905
569,0.345262,0.149563
570,0.727556,0.613219
571,0.48981,0.317332
572,0.756226,0.707836
573,0.456606,0.282341
574,0.919132,0.917125
575,0.720359,0.510172
576,0.469342,0.190078
577,0.868924,0.830696
578,0.464758,0.237719
579,0.530861,0.345383
580,0.508349,0.351725
581,0.814928,0.630345
582,0.41947,0.246817
583,0.8074,0.736236
584,0.317464,0.145893
585,0.282025,0.0684804
586,0.173091,0.054592
587,0.517193,0.286355
588,0.38535,0.251394
589,0.686701,0.542793
590,0.374846,0.189517
591,0.355775,0.233678
592,0.812943,0.612782
593,0.807914,0.678252
594,0.236727,0.0701081
595,0.644757,0.432898
596,0.791417,0.654735
597,0.848113,0.67669
598,0.759144,0.574908
599,0.609846,0.495067
600,0.311399,0.109826
601,0.614763,0.519877
602,0.699983,0.619053
603,0.0911798,0.027238
604,0.783421,0.654756
605,0.894116,0.824625
606,0.858974,0.785143
607,0.908765,0.870465
608,0.893467,0.844868
609,0.65571,0.422758
610,0.398182,0.260215
611,0.776664,0.642873
612,0.703742,0.473271
613,0.289832,0.11726
614,0.326574,0.212608
615,0.389977,0.162225
616,0.220542,0.0780741
617,0.595214,0.384739
618,0.608524,0.332521
619,0.355392,0.216538
620,0.654737,0.628529
621,0.547466,0.403416
622,0.697739,0.590161
623,0.110999,0.0264494
624,0.563322,0.344887
625,0.285762,0.0981515
626,0.523509,0.384223
627,0.374916,0.149319
628,0.201599,0.0536734
629,0.690531,0.507084
630,0.445334,0.313577
631,0.337436,0.202634
632,0.383658,0.192085
633,0.189176,0.0777861
634,0.590432,0.308215
635,0.22767,0.139895
636,0.728554,0.626702
637,0.363691,0.185879
638,0.274754,0.162951
639,0.262136,0.0839945
640,0.707807,0.528809
641,0.742479,0.636487
642,0.239396,0.102866
643,0.659522,0.59896
644,0.799062,0.617397
645,0.696351,0.53183
646,0.469952,0.301011
647,0.305026,0.124834
648,0.725872,0.543793
649,0.800031,0.63668
650,0.217122,0.0475102
651,0.736153,0.629594
652,0.679506,0.561217
653,0.592757,0.484894
654,0.581793,0.474235
655,0.771353,0.600494
656,0.312922,0.137525
657,0.58779,0.356323
658,0.293037,0.192026
659,0.332522,0.117014
660,0.414103,0.293316
661,0.255992,0.0719059
662,0.553947,0.349578
663,0.354445,0.111107
664,0.382771,0.18435
665,0.676117,0.578093
666,0.207959,0.0876336
667,0.69513,0.543954
668,0.902998,0.813126
669,0.346508,0.216773
670,0.424754,0.191364
671,0.355155,0.200483
672,0.662475,0.487963
673,0.746239,0.655816
674,0.599496,0.436327
675,0.340237,0.170378
676,0.929091,0.838648
677,0.364762,0.230434
678,0.0282983,0.0100951
679,0.456947,0.212883
680,0.14277,0.0630331
681,0.488332,0.258337
682,0.438841,0.260988
683,0.0951119,0.0434811
684,0.407546,0.325099
685,0.394117,0.209188
686,0.522869,0.304488
687,0.340031,0.119649
688,0.746198,0.556133
689,0.829817,0.728037
690,0.332541,0.136303
691,0.75182,0.593362
692,0.579771,0.357234
693,0.559902,0.35849
694,0.523222,0.254909
695,0.117939,0.0532566
696,0.51218,0.273473
697,0.499802,0.328286
698,0.191335,0.0887137
699,0.70967,0.558844
700,0.52353,0.335198
701,0.250154,0.0954728
702,0.433632,0.170073
703,0.577214,0.348096
704,0.531645,0.366516
705,0.936089,0.931629
706,0.470364,0.348592
707,0.210792,0.0450894
708,0.475142,0.274281
709,0.232489,0.0827394
710,0.136059,0.0384862
711,0.295566,0.167075
712,0.178707,0.056479
713,0.380523,0.153956
714,0.543338,0.47129
715,0.739449,0.60063
716,0.555852,0.298163
717,0.629861,0.500383
718,0.82215,0.701826
719,0.370716,0.21377
720,0.319384,0.111036
721,0.405199,0.218089
722,0.808316,0.78456
723,0.447116,0.215561
724,0.453842,0.262681
725,0.431258,0.246185
726,0.603736,0.485897
727,0.145469,0.0288538
728,0.738294,0.514798
729,0.776197,0.653269
730,0.391243,0.256743
731,0.793489,0.687491
732,0.322881,0.119421
733,0.50611,0.314669
734,0.909434,0.787052
735,0.92068,0.877795
736,0.652037,0.523046
737,0.722309,0.46068
738,0.740551,0.538336
739,0.591462,0.434368
740,0.403969,0.280979
741,0.664921,0.525702
742,0.564725,0.483391
743,0.787263,0.706858
744,0.130796,0.0273114
745,0.605648,0.379021
746,0.152968,0.0303746
747,0.877467,0.802605
748,0.717767,0.557714
749,0.620171,0.362482
750,0.288269,0.151668
751,0.472143,0.378938
752,0.274827,0.104755
753,0.308179,0.0853618
754,0.291644,0.0759464
755,0.66671,0.420664
756,0.726767,0.554771
757,0.599237,0.52016
758,0.423898,0.207529
759,0.416417,0.304396
760,0.919727,0.866883
761,0.435855,0.216029
762,0.727379,0.583142
763,0.424505,0.308134
764,0.176864,0.0844092
765,0.695707,0.511188
766,0.51519,0.337423
767,0.493417,0.28628
768,0.452949,0.31538
769,0.577809,0.391288
770,0.821023,0.671419
771,0.340005,0.162138
772,0.664126,0.436651
773,0.0650705,0.0263913
774,0.367769,0.190408
775,0.875035,0.763345
776,0.558786,0.40451
777,0.27786,0.0845644
778,0.497307,0.355028
779,0.7592,0.500973
780,0.53333,0.439953
781,0.586354,0.513723
782,0.779341,0.747592
783,0.724538,0.492687
784,0.968864,0.968854
785,0.651427,0.468943
786,0.753152,0.659767
787,0.843769,0.698304
788,0.293385,0.0998217
789,0.261834,0.104273
790,0.176864,0.0348071
791,0.442074,0.200296
792,0.484764,0.29135
793,0.729878,0.511731
794,0.728383,0.651841
795,0.897221,0.794424
796,0.78935,0.760283
797,0.718765,0.543997
798,0.619943,0.498211
799,0.563303,0.46656
800,0.400159,0.194636
801,0.30203,0.172793
802,0.570605,0.50523
803,0.674066,0.490742
804,0.257403,0.0956325
805,0.337097,0.217426
806,0.573959,0.327917
807,0.303561,0.217375
808,0.486017,0.247851
809,0.485709,0.302125
810,0.949228,0.908036
811,0.676167,0.432124
812,0.430619,0.292947
813,0.235784,0.0566804
814,0.895444,0.889372
815,0.487036,0.37044
816,0.879306,0.789582
817,0.431773,0.328119
818,0.907685,0.860673
819,0.504538,0.21613
820,0.706009,0.506105
821,0.916274,0.846833
822,0.799531,0.574563
823,0.931127,0.863019
824,0.440556,0.286031
825,0.253193,0.120894
826,0.923347,0.896504
827,0.565664,0.272792
828,0.661584,0.507762
829,0.0470834,0.0134259
830,0.596698,0.355668
831,0.373838,0.229391
832,0.398376,0.310716
833,0.667448,0.464057
834,0.601513,0.403421
835,0.512247,0.229316
836,0.029063,0.0160783
837,0.665053,0.379979
838,0.747463,0.609056
839,0.748212,0.543193
840,0.809849,0.719384
841,0.317276,0.212246
842,0.711538,0.535183
843,0.376479,0.239705
844,0.281306,0.178827
845,0.137192,0.0558901
846,0.830395,0.715187
847,0.304155,0.139717
848,0.329345,0.198149
849,0.668344,0.53489
850,0.196737,0.0491109
851,0.822453,0.761528
852,0.524463,0.234786
853,0.630902,0.432685
854,0.488222,0.230728
855,0.517881,0.347797
856,0.463793,0.287784
857,0.402226,0.271592
858,0.482325,0.202234
859,0.236633,0.0865834
860,0.51363,0.38917
861,0.174426,0.0669769
862,0.713072,0.50788
863,0.389414,0.191829
864,0.750103,0.563254
865,0.262228,0.132708
866,0.702223,0.545947
867,0.446827,0.292825
868,0.638074,0.373004
869,0.477956,0.290287
870,0.31038,0.19516
871,0.321552,0.184938
872,0.363621,0.153787
873,0.638825,0.458315
874,0.707953,0.430064
875,0.679291,0.61314
876,0.569136,0.37891
877,0.0808131,0.032001
878,0.90569,0.776634
879,0.541994,0.349342
880,0.491953,0.210338
881,0.852675,0.780792
882,0.387533,0.299968
883,0.510491,0.332047
884,0.654675,0.405813
885,0.442444,0.175446
886,0.471878,0.28684
887,0.61692,0.431006
888,0.769537,0.687761
889,0.737117,0.489163
890,0.929994,0.877741
891,0.369898,0.117665
892,0.329048,0.185911
893,0.464572,0.246717
894,0.405526,0.165131
895,0.233661,0.119124
896,0.813153,0.76144
897,0.867008,0.80894
898,0.428567,0.26354
899,0.543413,0.367713
900,0.248592,0.0870799
901,0.0410019,0.0197763
902,0.44607,0.272756
903,0.888184,0.839788
904,0.417136,0.270366
905,0.560461,0.378089
906,0.427325,0.231617
907,0.123553,0.0387654
908,0.924963,0.829075
909,0.109105,0.0393246
910,0.643396,0.4242
911,0.320355,0.0870971
912,0.612948,0.453275
913,0.644487,0.558981
914,0.74622,0.697994
915,0.456535,0.301403
916,0.81715,0.658569
917,0.549483,0.331848
918,0.71191,0.451446
919,0.88477,0.80223
920,0.524865,0.28813
921,0.862553,0.855647
922,0.375137,0.201153
923,0.566659,0.447694
924,0.561529,0.424738
925,0.534544,0.309004
926,0.71693,0.67593
927,0.841895,0.801825
928,0.271831,0.129494
929,0.720771,0.529972
930,0.627563,0.424842
931,0.64925,0.453975
932,0.188152,0.0483449
933,0.936244,0.88191
934,0.624209,0.344762
935,0.753096,0.637654
936,0.703719,0.65673
937,0.746127,0.494855
938,0.785734,0.627583
939,0.351225,0.151793
940,0.737145,0.722517
941,0.530967,0.335409
942,0.403874,0.142723
943,0.504096,0.274788
944,0.58364,0.329101
945,0.16976,0.0487498
946,0.48997,0.342922
947,0.760163,0.686588
948,0.336453,0.184209
949,0.468552,0.257633
950,0.709992,0.616943
951,0.53889,0.342763
952,0.53393,0.321616
953,0.645629,0.520029
954,0.456618,0.353524
955,0.681407,0.50851
956,0.512021,0.258314
957,0.948496,0.893266
958,0.623549,0.580243
959,0.68575,0.624315
960,0.501707,0.396934
961,0.754502,0.524428
962,0.876447,0.779983
963,0.481948,0.331664
964,0.457418,0.269319
965,0.730538,0.70293
966,0.898723,0.770546
967,0.747517,0.62001
968,0.550411,0.26338
969,0.0586193,0.0246352
970,0.334721,0.0999263
971,0.930415,0.898965
972,0.429354,0.2129
973,0.673379,0.519348
974,0.759485,0.595292
975,0.166228,0.0316383
976,0.238875,0.145259
977,0.49864,0.290331
978,0.726393,0.598797
979,0.817871,0.796818
980,0.434055,0.194999
981,0.717257,0.618144
982,0.844269,0.733266
983,0.285695,0.164567
984,0.20635,0.0588438
985,0.677757,0.503626
986,0.407806,0.288269
987,0.689747,0.488036
988,0.547906,0.389374
989,0.633084,0.483368
990,0.83335,0.647954
991,0.656178,0.472019
992,0.809709,0.653747
993,0.870305,0.796161
994,0.603453,0.46563
995,0.83758,0.729437
996,0.352909,0.127266
997,0.498551,0.314634
998,0.834852,0.75095
999,0.465331,0.321382
