Hand,Equity2P,Equity3P
RiverID,ERROR,ERROR
2c 2d 2h 2s 5s 6s Js,0.923000,0.889333
2c 2d 2h 2s 5s 6s Qs,0.936500,0.918667
2c 2d 2h 2s 5s 6s Ks,0.944500,0.934333
2c 2d 2h 2s 5s 6s As,0.971000,0.957333
2c 2d 2h 2s 5s 7s 8s,0.891500,0.857667
2c 2d 2h 2s 5s 7s 9s,0.895000,0.895667
2c 2d 2h 2s 5s 7s 10s,0.908000,0.894667
2c 2d 2h 2s 5s 7s Js,0.928500,0.912667
2c 2d 2h 2s 5s 7s Qs,0.932500,0.906667
2c 2d 2h 2s 5s 7s Ks,0.942500,0.931333
2c 2d 2h 2s 5s 7s As,0.960000,0.973667
2c 2d 2h 2s 5s 8s 9s,0.896000,0.863000
2c 2d 2h 2s 5s 8s 10s,0.917500,0.874000
2c 2d 2h 2s 5s 8s Js,0.900500,0.874667
2c 2d 2h 2s 5s 8s Qs,0.925000,0.903333
2c 2d 2h 2s 5s 8s Ks,0.944000,0.931333
2c 2d 2h 2s 5s 8s As,0.975000,0.964000
2c 2d 2h 2s 5s 9s 10s,0.892000,0.881333
2c 2d 2h 2s 5s 9s Js,0.923500,0.875667
2c 2d 2h 2s 5s 9s Qs,0.936500,0.924000
2c 2d 2h 2s 5s 9s Ks,0.945500,0.931667
2c 2d 2h 2s 5s 9s As,0.966000,0.965667
2c 2d 2h 2s 5s 10s Js,0.928500,0.894667
2c 2d 2h 2s 5s 10s Qs,0.931000,0.918333
2c 2d 2h 2s 5s 10s Ks,0.942500,0.946667
2c 2d 2h 2s 5s 10s As,0.967500,0.968000
2c 2d 2h 2s 5s Js Qs,0.932500,0.901333
2c 2d 2h 2s 5s Js Ks,0.945500,0.948000
2c 2d 2h 2s 5s Js As,0.977500,0.971667
2c 2d 2h 2s 5s Qs Ks,0.960000,0.929000
2c 2d 2h 2s 5s Qs As,0.961000,0.965667
2c 2d 2h 2s 5s Ks As,0.970000,0.973000
2c 2d 2h 2s 6s 7s 8s,0.888500,0.857333
2c 2d 2h 2s 6s 7s 9s,0.895000,0.868333
2c 2d 2h 2s 6s 7s 10s,0.922000,0.894000
2c 2d 2h 2s 6s 7s Js,0.909500,0.899333
2c 2d 2h 2s 6s 7s Qs,0.928500,0.906667
2c 2d 2h 2s 6s 7s Ks,0.953000,0.935667
2c 2d 2h 2s 6s 7s As,0.962000,0.968333
2c 2d 2h 2s 6s 8s 9s,0.889500,0.870667
2c 2d 2h 2s 6s 8s 10s,0.909000,0.879333
2c 2d 2h 2s 6s 8s Js,0.922500,0.893333
2c 2d 2h 2s 6s 8s Qs,0.931000,0.919333
2c 2d 2h 2s 6s 8s Ks,0.948500,0.934000
2c 2d 2h 2s 6s 8s As,0.961500,0.967333
2c 2d 2h 2s 6s 9s 10s,0.904000,0.874000
2c 2d 2h 2s 6s 9s Js,0.898000,0.913000
2c 2d 2h 2s 6s 9s Qs,0.923000,0.918000
2c 2d 2h 2s 6s 9s Ks,0.943000,0.932667
2c 2d 2h 2s 6s 9s As,0.965500,0.971667
2c 2d 2h 2s 6s 10s Js,0.903000,0.893667
2c 2d 2h 2s 6s 10s Qs,0.925000,0.907333
2c 2d 2h 2s 6s 10s Ks,0.956500,0.940667
2c 2d 2h 2s 6s 10s As,0.968000,0.972000
2c 2d 2h 2s 6s Js Qs,0.933500,0.921333
2c 2d 2h 2s 6s Js Ks,0.957000,0.939333
2c 2d 2h 2s 6s Js As,0.971000,0.968000
2c 2d 2h 2s 6s Qs Ks,0.955500,0.943333
2c 2d 2h 2s 6s Qs As,0.971500,0.965667
2c 2d 2h 2s 6s Ks As,0.965500,0.963333
2c 2d 2h 2s 7s 8s 9s,0.881000,0.884000
2c 2d 2h 2s 7s 8s 10s,0.893500,0.869333
2c 2d 2h 2s 7s 8s Js,0.921500,0.885667
2c 2d 2h 2s 7s 8s Qs,0.932000,0.920000
2c 2d 2h 2s 7s 8s Ks,0.946500,0.933333
2c 2d 2h 2s 7s 8s As,0.967500,0.970000
2c 2d 2h 2s 7s 9s 10s,0.892000,0.886333
2c 2d 2h 2s 7s 9s Js,0.923000,0.896333
2c 2d 2h 2s 7s 9s Qs,0.939500,0.922667
2c 2d 2h 2s 7s 9s Ks,0.947500,0.939333
2c 2d 2h 2s 7s 9s As,0.967000,0.972667
2c 2d 2h 2s 7s 10s Js,0.926000,0.913000
2c 2d 2h 2s 7s 10s Qs,0.940000,0.920000
2c 2d 2h 2s 7s 10s Ks,0.946500,0.938667
2c 2d 2h 2s 7s 10s As,0.970000,0.965000
2c 2d 2h 2s 7s Js Qs,0.933500,0.923667
2c 2d 2h 2s 7s Js Ks,0.941500,0.945667
2c 2d 2h 2s 7s Js As,0.969500,0.963667
2c 2d 2h 2s 7s Qs Ks,0.941500,0.932667
2c 2d 2h 2s 7s Qs As,0.970500,0.969333
2c 2d 2h 2s 7s Ks As,0.966000,0.965667
2c 2d 2h 2s 8s 9s 10s,0.915500,0.888333
2c 2d 2h 2s 8s 9s Js,0.926500,0.893000
2c 2d 2h 2s 8s 9s Qs,0.921000,0.916333
2c 2d 2h 2s 8s 9s Ks,0.953500,0.942667
2c 2d 2h 2s 8s 9s As,0.972000,0.965333
2c 2d 2h 2s 8s 10s Js,0.919500,0.910000
2c 2d 2h 2s 8s 10s Qs,0.931500,0.913333
2c 2d 2h 2s 8s 10s Ks,0.956500,0.941667
2c 2d 2h 2s 8s 10s As,0.971500,0.963667
2c 2d 2h 2s 8s Js Qs,0.943000,0.919333
2c 2d 2h 2s 8s Js Ks,0.946500,0.933000
2c 2d 2h 2s 8s Js As,0.964000,0.968333
2c 2d 2h 2s 8s Qs Ks,0.955000,0.943333
2c 2d 2h 2s 8s Qs As,0.975000,0.966000
2c 2d 2h 2s 8s Ks As,0.973000,0.970667
2c 2d 2h 2s 9s 10s Js,0.928000,0.888667
