Cluster,avg_equity2P,avg_equity3P
899,0.270945,0.181491
900,0.222694,0.151294
901,0.327715,0.17951
902,0.900098,0.794616
903,0.277658,0.19527
904,0.425066,0.331072
905,0.414741,0.233502
906,0.381925,0.198744
907,0.864884,0.79316
908,0.563127,0.407364
909,0.567321,0.48659
910,0.56638,0.446547
911,0.352547,0.190624
912,0.661642,0.491858
913,0.226283,0.120908
914,0.538905,0.428791
915,0.799942,0.70682
916,0.66112,0.433159
917,0.382985,0.235174
918,0.503354,0.336634
919,0.688165,0.562655
920,0.52376,0.342604
921,0.794695,0.665554
922,0.632169,0.483461
923,0.293883,0.235603
924,0.500844,0.285028
925,0.206518,0.109042
926,0.86786,0.800411
927,0.602024,0.403129
928,0.374116,0.236177
929,0.395673,0.230444
930,0.454809,0.296637
931,0.80798,0.681548
932,0.642096,0.443772
933,0.24034,0.123078
934,0.392093,0.249851
935,0.518884,0.353226
936,0.368223,0.215304
937,0.329365,0.253224
938,0.264462,0.164607
939,0.474545,0.299628
940,0.646903,0.484877
941,0.4556,0.3174
942,0.309363,0.180356
943,0.272486,0.145508
944,0.3568,0.213226
945,0.55343,0.391018
946,0.431887,0.247129
947,0.59938,0.49526
948,0.430442,0.290175
949,0.500703,0.324009
950,0.611978,0.445785
951,0.303324,0.242045
952,0.539408,0.355439
953,0.294034,0.160145
954,0.835326,0.782147
955,0.481083,0.296985
956,0.656049,0.493062
957,0.492907,0.353766
958,0.335931,0.194605
959,0.576473,0.458995
960,0.676321,0.504606
961,0.81404,0.663926
962,0.695393,0.481994
963,0.53794,0.375862
964,0.683961,0.521367
965,0.854464,0.772948
966,0.545705,0.354527
967,0.568514,0.366148
968,0.348106,0.200216
969,0.304515,0.229262
970,0.41363,0.215303
971,0.279112,0.13391
972,0.362104,0.219207
973,0.717988,0.50154
974,0.739394,0.581966
975,0.296721,0.169767
976,0.39746,0.20016
977,0.334755,0.208044
978,0.909783,0.808723
979,0.773957,0.666414
980,0.603859,0.456323
981,0.769362,0.604922
982,0.634393,0.506396
983,0.403796,0.209295
984,0.576217,0.342014
985,0.257649,0.165978
986,0.55437,0.418807
987,0.48212,0.363333
988,0.825354,0.72322
989,0.489983,0.326187
990,0.490706,0.286709
991,0.514191,0.387361
992,0.753864,0.576022
993,0.568573,0.388187
994,0.542688,0.460917
995,0.605942,0.393534
996,0.284543,0.183226
997,0.575942,0.378606
998,0.573925,0.444515
999,0.675792,0.543284
