Hand,Equity2P,Equity3P
2c 2d 2h 2s 3s 4s 8s,0.851667,0.861111
2c 2d 2h 2s 3s 4s 9s,0.883333,0.873333
2c 2d 2h 2s 3s 4s 10s,0.898333,0.892222
2c 2d 2h 2s 3s 4s Js,0.915000,0.885556
2c 2d 2h 2s 3s 4s Qs,0.948333,0.908889
2c 2d 2h 2s 3s 4s Ks,0.948333,0.930000
